Tên xe ,Hình ảnh,Giá,id,type,file_type,file_media
Toyota Vios 1.5 E MT,Đanh-gia-xe-Toyota-Vios-1.5E-MT-2019-01a.png,478000000,6,1,png,media/Đanh-gia-xe-Toyota-Vios-1.5E-MT-2019-01a.png
Toyota Vios 1.5 E CVT,toyota-vios-phien-ban-15-e-cvt.png,531000000,6,1,png,media/toyota-vios-phien-ban-15-e-cvt.png
Toyota Vios 1.5 G CVT,toyota-vios-1-5-g-cvt-2019.jpg,581000000,6,1,jpg,media/toyota-vios-1-5-g-cvt-2019.jpg
Toyota Vios 1.5 VGR-S CVT,Toyota-Vios-E-CVT-2021.jpg,638000000,6,1,jpg,media/Toyota-Vios-E-CVT-2021.jpg
Toyota Innova 2.0 E MT,2127783toyota-innova-e.jpg,750000000,6,1,jpg,media/2127783toyota-innova-e.jpg
Toyota Innova 2.0 G AT,Toyota_Innova_G_2020_Zing_1_.jpg,865000000,6,1,jpg,media/Toyota_Innova_G_2020_Zing_1_.jpg
Toyota Innova 2.0 Venturer AT,innova-venture-1.jpg,879000000,6,1,jpg,media/innova-venture-1.jpg
Toyota Innova 2.0 V AT,0413761toyota-innova-v.jpg,989000000,6,1,jpg,media/0413761toyota-innova-v.jpg
Toyota Camry 2.0 G AT,dau-xe-camry-2019-2-0-g-min-1324730f24390.jpg,1029000000,6,1,jpg,media/dau-xe-camry-2019-2-0-g-min-1324730f24390.jpg
Toyota Camry 2.5 Q AT,toyota-camry-2-5q-2019-nhap-khau-1-thegioixeoto.jpg,1235000000,6,1,jpg,media/toyota-camry-2-5q-2019-nhap-khau-1-thegioixeoto.jpg
Toyota Rush S 1.5AT,xehay-toyota-rush-180918-3.jpg,636000000,6,1,jpg,media/xehay-toyota-rush-180918-3.jpg
Toyota Fortuner 2.4 MT 4X2 MT,toyota-fortuner-2-4g-4x2-mt-2018-1-1020959f1.jpg,955000000,6,1,jpg,media/toyota-fortuner-2-4g-4x2-mt-2018-1-1020959f1.jpg
Toyota Fortuner 2.4 AT 4X2,hình-ảnh-thực-tế-xe-ô-tô-toyota-fortuner-2021-tại-showroom-Toyota-Tây-Ninh-768x576,1080000000,6,1,,media/hình-ảnh-thực-tế-xe-ô-tô-toyota-fortuner-2021-tại-showroom-Toyota-Tây-Ninh-768x576
Toyota Fortuner 2.7 AT 4X2,Đánh-giá-Toyota-Fortuner-2.7-V-4x2-lăn-bánh-mua-xe-trả-góp-tại-TPHCM-ảnh-9-710x400.jpg,1130000000,6,1,jpg,media/Đánh-giá-Toyota-Fortuner-2.7-V-4x2-lăn-bánh-mua-xe-trả-góp-tại-TPHCM-ảnh-9-710x400.jpg
